102	2992
103	2355
103	6054
103	8136
103	9383
103	9943
104	6087
105	1753
105	3347
105	4361
105	7973
105	8337
105	9080
105	10776
105	12177
106	1097
106	1854
106	2861
106	5091
107	702
107	2007
107	2959
107	3175
107	11350
107	11351
107	12140
108	251
108	1155
108	1405
108	1938
108	2775
108	3327
108	4363
108	4723
108	8758
108	9499
108	11158
108	11396
108	11730
108	11962
108	12127
109	1351
109	2736
109	3588
109	5598
109	5752
109	7436
109	7537
109	8273
109	9548
110	480
110	1246
110	2303
110	2564
110	3381
110	3478
110	4326
110	4351
110	4852
110	6508
110	6878
110	8040
110	8875
110	10450
110	11048
110	11790
111	827
111	1797
111	1905
111	2145
111	2686
111	2785
111	3695
111	3969
111	4306
111	4380
111	4673
111	5101
111	5875
111	6789
111	7599
111	9263
111	9374
111	11251
111	12465
112	140
112	172
112	694
112	873
112	940
112	1021
112	1027
112	1186
112	1319
112	1384
112	2026
112	2070
112	2584
112	3811
112	4213
112	4327
112	4442
112	6746
112	8503
112	8647
112	8793
112	8931
112	9724
112	9760
112	10407
112	10651
112	10724
112	10861
112	11543
112	12097
112	12292
112	12321
113	484
113	728
113	835
113	1142
113	1210
113	1447
113	1788
113	1933
113	2661
113	2907
113	3213
113	3499
113	3797
113	4527
113	5328
113	5571
113	5771
113	6134
113	7199
113	7248
113	8198
113	8283
113	8961
113	9186
113	9699
113	9846
113	10200
113	10209
113	10977
113	11155
113	11218
114	159
114	442
114	917
114	941
114	955
114	983
114	1000
114	1045
114	1370
114	1382
114	1525
114	1913
114	2094
114	2137
114	2199
114	2380
114	2613
114	2982
114	3645
114	4451
114	5263
114	5418
114	5430
114	5870
114	6293
114	7084
114	7157
114	7216
114	7233
114	7252
114	7392
114	7919
114	7957
114	8222
114	8341
114	8519
114	8550
114	9071
114	9140
114	9506
114	9710
114	9863
114	10537
114	10544
114	10565
114	10883
114	11198
114	11560
114	11625
114	11928
114	12166
115	29
115	67
115	345
115	419
115	911
115	966
115	1064
115	1272
115	1544
115	1579
115	1775
115	2159
115	2228
115	2252
115	2325
115	2392
115	2683
115	3370
115	3878
115	3913
115	3955
115	4157
115	4194
115	4420
115	4675
115	4823
115	5123
115	5559
115	5678
115	6377
115	6401
115	6489
115	6809
115	6825
115	6977
115	7554
115	7604
115	7735
115	7809
115	8001
115	8130
115	8267
115	8289
115	8472
115	8482
115	8567
115	8778
115	8797
115	8933
115	9044
115	9114
115	9239
115	9520
115	10303
115	10309
115	10401
115	10672
115	11135
115	11436
115	11461
115	11466
115	11634
115	12016
115	12088
115	12180
115	12361
116	360
116	456
116	592
116	716
116	752
116	764
116	872
116	1033
116	1138
116	1228
116	1433
116	1734
116	2699
116	2826
116	2973
116	3304
116	3349
116	3835
116	3935
116	4143
116	4262
116	4320
116	4371
116	4382
116	4407
116	5566
116	5584
116	5642
116	5671
116	6562
116	6639
116	6747
116	7014
116	7029
116	7485
116	7518
116	7693
116	8257
116	8764
116	8768
116	8984
116	9173
116	9271
116	9552
116	9997
116	10161
116	10278
116	10381
116	10406
116	10664
116	10749
116	10782
116	10841
116	10880
116	10960
116	11173
116	11590
116	11799
116	11917
116	11938
116	11973
116	12007
116	12417
117	0
117	145
117	295
117	882
117	1128
117	1250
117	1297
117	1438
117	1605
117	1664
117	1683
117	1878
117	2142
117	2174
117	2459
117	2495
117	2503
117	2540
117	2824
117	3157
117	3329
117	3351
117	3475
117	3518
117	3567
117	4086
117	4286
117	4299
117	4366
117	4795
117	4863
117	4965
117	5136
117	5286
117	5351
117	5713
117	5773
117	5827
117	5933
117	6029
117	6448
117	6449
117	6459
117	6571
117	6676
117	7038
117	7105
117	7591
117	7695
117	7878
117	8285
117	8696
117	8950
117	9073
117	9133
117	9184
117	9225
117	9250
117	9352
117	9369
117	9631
117	9675
117	9720
117	9765
117	9975
117	10015
117	10184
117	10316
117	10387
117	10415
117	11100
117	11244
117	11885
117	11957
117	11983
117	12092
117	12108
117	12167
117	12202
117	12319
118	4
118	73
118	259
118	311
118	444
118	534
118	659
118	805
118	922
118	1394
118	1612
118	1846
118	1999
118	2050
118	2089
118	2330
118	2406
